Month,Year,Old/New,Name
5,2011,N,21498
5,2012,N,22473
5,2013,N,28895
5,2014,N,35985
5,2015,N,34002
5,2016,N,28198
5,2017,N,29333
5,2001,Y,4672
5,2002,Y,6007
5,2004,Y,5320
5,2005,Y,4793
5,2006,Y,5737
5,2007,Y,4899
5,2010,Y,2731
5,2011,Y,2156
5,2012,Y,2580
5,2013,Y,3080
5,2014,Y,3777
5,2015,Y,4371
5,2016,Y,4396
5,2017,Y,810
